group,variable,value
Hgt,IHgt,15.98932939
Hgt,IApp,52.73675832
Hgt,IInt,12.17141469
Hgt,IAth,44.78276937
Hgt,IHum,20.92080253
Hgt,ISM,46.37356716
Hgt,IPer,8.3535
Hgt,IPol,60.69074726
App,IHgt,14.71669116
App,IApp,12.01233492
App,IInt,12.64865403
App,IAth,11.3760158
App,IHum,22.6706801
App,ISM,27.28399369
App,IPer,17.4210474
App,IPol,28.87479148
Int,IHgt,19.17092497
Int,IApp,17.73920696
Int,IInt,15.19393049
Int,IAth,22.6706801
Int,IHum,30.46558927
Int,ISM,22.98883966
Int,IPer,30.46558927
Int,IPol,12.17141469
Ath,IHgt,23.78423856
Ath,IApp,27.28399369
Ath,IInt,12.48957425
Ath,IAth,70.235534
Ath,IHum,10.42153713
Ath,ISM,24.10239811
Ath,IPer,22.82975988
Ath,IPol,51.14596053
Hum,IHgt,11.3760158
Hum,IApp,12.80773381
Hum,IInt,30.46558927
Hum,IAth,33.64718485
Hum,IHum,60.69074726
Hum,ISM,14.08037204
Hum,IPer,16.14840917
Hum,IPol,13.28497315
SM,IHgt,27.28399369
SM,IApp,8.926187204
SM,IInt,22.6706801
SM,IAth,23.94331833
SM,IHum,18.37552607
SM,ISM,22.6706801
SM,IPer,35.23798264
SM,IPol,20.60264298
Pat,IHgt,9.642046209
Pat,IApp,8.671659558
Pat,IInt,12.80773381
Pat,IAth,9.451150475
Pat,IHum,18.53460585
Pat,ISM,19.6481643
Pat,IPer,25.6931959
Pat,IPol,16.6256485
Kind,IHgt,16.30748895
Kind,IApp,22.35252054
Kind,IInt,33.64718485
Kind,IAth,19.01184519
Kind,IHum,15.35301027
Kind,ISM,27.28399369
Kind,IPer,28.87479148
Kind,IPol,33.64718485
IorE,IHgt,14.71669116
IorE,IApp,27.28399369
IorE,IInt,17.58012718
IorE,IAth,11.69417536
IorE,IHum,10.73969668
IorE,ISM,32.05638706
IorE,IPer,15.83024961
IorE,IPol,9.944297789
TorF,IHgt,18.85276541
TorF,IApp,17.73920696
TorF,IInt,13.44405293
TorF,IAth,36.82878043
TorF,IHum,8.544395735
TorF,ISM,13.44405293
TorF,IPer,19.17092497
TorF,IPol,27.28399369
