group,variable,value
HeightCM,IHeight,4.9
HeightCM,IApp,28
HeightCM,IInt,2.5
HeightCM,IAth,23
HeightCM,IHumor,8
HeightCM,ISM,24
HeightCM,IPer,0.1
HeightCM,IPol,33
Appearance,IHeight,4.1
Appearance,IApp,2.4
Appearance,IInt,2.8
Appearance,IAth,2
Appearance,IHumor,9.1
Appearance,ISM,12
Appearance,IPer,5.8
Appearance,IPol,13
Intelligence,IHeight,6.9
Intelligence,IApp,6
Intelligence,IInt,4.4
Intelligence,IAth,9.1
Intelligence,IHumor,14
Intelligence,ISM,9.3
Intelligence,IPer,14
Intelligence,IPol,2.5
Athleticism,IHeight,9.8
Athleticism,IApp,12
Athleticism,IInt,2.7
Athleticism,IAth,39
Athleticism,IHumor,1.4
Athleticism,ISM,10
Athleticism,IPer,9.2
Athleticism,IPol,27
Humor,IHeight,2
Humor,IApp,2.9
Humor,IInt,14
Humor,IAth,16
Humor,IHumor,33
Humor,ISM,3.7
Humor,IPer,5
Humor,IPol,3.2
SocialMedia,IHeight,12
SocialMedia,IApp,0.46
SocialMedia,IInt,9.1
SocialMedia,IAth,9.9
SocialMedia,IHumor,6.4
SocialMedia,ISM,9.1
SocialMedia,IPer,17
SocialMedia,IPol,7.8
Patience,IHeight,0.91
Patience,IApp,0.3
Patience,IInt,2.9
Patience,IAth,0.79
Patience,IHumor,6.5
Patience,ISM,7.2
Patience,IPer,11
Patience,IPol,5.3
Kindness,IHeight,5.1
Kindness,IApp,8.9
Kindness,IInt,16
Kindness,IAth,6.8
Kindness,IHumor,4.5
Kindness,ISM,12
Kindness,IPer,13
Kindness,IPol,16
IorE,IHeight,4.1
IorE,IApp,12
IorE,IInt,5.9
IorE,IAth,2.2
IorE,IHumor,1.6
IorE,ISM,15
IorE,IPer,4.8
IorE,IPol,1.1
TorF,IHeight,6.7
TorF,IApp,6
TorF,IInt,3.3
TorF,IAth,18
TorF,IHumor,0.22
TorF,ISM,3.3
TorF,IPer,6.9
TorF,IPol,12
