group,variable,value
HeightCM,IHeight,13.02056555
HeightCM,IApp,51.61953728
HeightCM,IInt,9.010282776
HeightCM,IAth,43.26478149
HeightCM,IHumor,18.20051414
HeightCM,ISM,44.93573265
HeightCM,IPer,5
HeightCM,IPol,59.97429306
Appearance,IHeight,11.68380463
Appearance,IApp,8.843187661
Appearance,IInt,9.511568123
Appearance,IAth,8.174807198
Appearance,IHumor,20.03856041
Appearance,ISM,24.88431877
Appearance,IPer,14.52442159
Appearance,IPol,26.55526992
Intelligence,IHeight,16.36246787
Intelligence,IApp,14.85861183
Intelligence,IInt,12.18508997
Intelligence,IAth,20.03856041
Intelligence,IHumor,28.22622108
Intelligence,ISM,20.37275064
Intelligence,IPer,28.22622108
Intelligence,IPol,9.010282776
Athleticism,IHeight,21.20822622
Athleticism,IApp,24.88431877
Athleticism,IInt,9.344473008
Athleticism,IAth,70
Athleticism,IHumor,7.172236504
Athleticism,ISM,21.54241645
Athleticism,IPer,20.20565553
Athleticism,IPol,49.94858612
Humor,IHeight,8.174807198
Humor,IApp,9.678663239
Humor,IInt,28.22622108
Humor,IAth,31.56812339
Humor,IHumor,59.97429306
Humor,ISM,11.01542416
Humor,IPer,13.18766067
Humor,IPol,10.17994859
SocialMedia,IHeight,24.88431877
SocialMedia,IApp,5.601542416
SocialMedia,IInt,20.03856041
SocialMedia,IAth,21.37532134
SocialMedia,IHumor,15.52699229
SocialMedia,ISM,20.03856041
SocialMedia,IPer,33.23907455
SocialMedia,IPol,17.86632391
Patience,IHeight,6.353470437
Patience,IApp,5.334190231
Patience,IInt,9.678663239
Patience,IAth,6.152956298
Patience,IHumor,15.6940874
Patience,ISM,16.86375321
Patience,IPer,23.21336761
Patience,IPol,13.68894602
Kindness,IHeight,13.35475578
Kindness,IApp,19.70437018
Kindness,IInt,31.56812339
Kindness,IAth,16.19537275
Kindness,IHumor,12.35218509
Kindness,ISM,24.88431877
Kindness,IPer,26.55526992
Kindness,IPol,31.56812339
IorE,IHeight,11.68380463
IorE,IApp,24.88431877
IorE,IInt,14.69151671
IorE,IAth,8.508997429
IorE,IHumor,7.506426735
IorE,ISM,29.89717224
IorE,IPer,12.85347044
IorE,IPol,6.670951157
TorF,IHeight,16.02827763
TorF,IApp,14.85861183
TorF,IInt,10.3470437
TorF,IAth,34.91002571
TorF,IHumor,5.200514139
TorF,ISM,10.3470437
TorF,IPer,16.36246787
TorF,IPol,24.88431877
