Word,Rolling Average,Year
love,186.2,1964
like,140.4,1964
know,105.8,1964
funny,24.6,1964
oh,111.4,1964
yeah,115.8,1964
go,50.4,1964
might,39.8,1964
one,42.4,1964
also,19,1964
come,65.4,1964
baby,94.2,1964
day,22.2,1964
said,21,1964
la,47.4,1964
twist,20.6,1964
let,19.8,1964
got,28,1964
say,22.8,1964
um,0,1964
time,0,1964
girl,0,1964
na,0,1964
protest,0,1964
need,0,1964
get,0,1964
see,0,1964
take,0,1964
ooh,0,1964
sweet,0,1964
du,0,1964
man,0,1964
ca,0,1964
chance,0,1964
want,0,1964
feat,0,1964
night,0,1964
feel,0,1964
heart,0,1964
gon,0,1964
make,0,1964
never,0,1964
buddy,0,1964
way,0,1964
da,0,1964
wan,0,1964
jake,0,1964
boy,0,1964
ai,0,1964
back,0,1964
hey,0,1964
b***h,0,1964
ayy,0,1964
n***a,0,1964
love,196.8,1965
like,141.6,1965
know,115.6,1965
funny,0,1965
oh,115.6,1965
yeah,118.6,1965
go,59.2,1965
might,43,1965
one,23.2,1965
also,0,1965
come,65.4,1965
baby,141.6,1965
day,22.2,1965
said,21,1965
la,47.4,1965
twist,20.6,1965
let,19.8,1965
got,51.6,1965
say,22.8,1965
um,28.8,1965
time,0,1965
girl,0,1965
na,0,1965
protest,0,1965
need,0,1965
get,0,1965
see,0,1965
take,0,1965
ooh,0,1965
sweet,0,1965
du,0,1965
man,0,1965
ca,0,1965
chance,0,1965
want,0,1965
feat,0,1965
night,0,1965
feel,0,1965
heart,0,1965
gon,0,1965
make,0,1965
never,0,1965
buddy,0,1965
way,0,1965
da,0,1965
wan,0,1965
jake,0,1965
boy,0,1965
ai,0,1965
back,0,1965
hey,0,1965
b***h,0,1965
ayy,0,1965
n***a,0,1965
love,207.4,1966
like,126,1966
know,114.2,1966
funny,0,1966
oh,80,1966
yeah,111.6,1966
go,79.4,1966
might,22.4,1966
one,23.2,1966
also,0,1966
come,64.2,1966
baby,158.6,1966
day,0,1966
said,0,1966
la,47.4,1966
twist,20.6,1966
let,19.8,1966
got,85.4,1966
say,22.8,1966
um,28.8,1966
time,22.4,1966
girl,19.6,1966
na,0,1966
protest,0,1966
need,0,1966
get,0,1966
see,0,1966
take,0,1966
ooh,0,1966
sweet,0,1966
du,0,1966
man,0,1966
ca,0,1966
chance,0,1966
want,0,1966
feat,0,1966
night,0,1966
feel,0,1966
heart,0,1966
gon,0,1966
make,0,1966
never,0,1966
buddy,0,1966
way,0,1966
da,0,1966
wan,0,1966
jake,0,1966
boy,0,1966
ai,0,1966
back,0,1966
hey,0,1966
b***h,0,1966
ayy,0,1966
n***a,0,1966
love,213.8,1967
like,132.4,1967
know,113.8,1967
funny,0,1967
oh,82,1967
yeah,105,1967
go,79.4,1967
might,22.4,1967
one,23.2,1967
also,0,1967
come,50,1967
baby,161.8,1967
day,0,1967
said,0,1967
la,0,1967
twist,0,1967
let,0,1967
got,105.6,1967
say,22.8,1967
um,28.8,1967
time,43,1967
girl,19.6,1967
na,31.6,1967
protest,20.2,1967
need,0,1967
get,0,1967
see,0,1967
take,0,1967
ooh,0,1967
sweet,0,1967
du,0,1967
man,0,1967
ca,0,1967
chance,0,1967
want,0,1967
feat,0,1967
night,0,1967
feel,0,1967
heart,0,1967
gon,0,1967
make,0,1967
never,0,1967
buddy,0,1967
way,0,1967
da,0,1967
wan,0,1967
jake,0,1967
boy,0,1967
ai,0,1967
back,0,1967
hey,0,1967
b***h,0,1967
ayy,0,1967
n***a,0,1967
love,260.2,1968
like,126.8,1968
know,113.4,1968
funny,0,1968
oh,100.2,1968
yeah,70.6,1968
go,49.4,1968
might,22.4,1968
one,0,1968
also,0,1968
come,50,1968
baby,162.6,1968
day,0,1968
said,0,1968
la,0,1968
twist,0,1968
let,0,1968
got,100,1968
say,0,1968
um,28.8,1968
time,43,1968
girl,46,1968
na,31.6,1968
protest,20.2,1968
need,24.2,1968
get,21.2,1968
see,19.6,1968
take,0,1968
ooh,0,1968
sweet,0,1968
du,0,1968
man,0,1968
ca,0,1968
chance,0,1968
want,0,1968
feat,0,1968
night,0,1968
feel,0,1968
heart,0,1968
gon,0,1968
make,0,1968
never,0,1968
buddy,0,1968
way,0,1968
da,0,1968
wan,0,1968
jake,0,1968
boy,0,1968
ai,0,1968
back,0,1968
hey,0,1968
b***h,0,1968
ayy,0,1968
n***a,0,1968
love,255.2,1969
like,138.8,1969
know,108,1969
funny,0,1969
oh,110.6,1969
yeah,83.2,1969
go,20.2,1969
might,0,1969
one,0,1969
also,0,1969
come,82,1969
baby,160.8,1969
day,0,1969
said,0,1969
la,0,1969
twist,0,1969
let,26.8,1969
got,76.4,1969
say,0,1969
um,0,1969
time,70,1969
girl,46,1969
na,58.6,1969
protest,20.2,1969
need,24.2,1969
get,21.2,1969
see,19.6,1969
take,0,1969
ooh,0,1969
sweet,0,1969
du,0,1969
man,0,1969
ca,0,1969
chance,0,1969
want,0,1969
feat,0,1969
night,0,1969
feel,0,1969
heart,0,1969
gon,0,1969
make,0,1969
never,0,1969
buddy,0,1969
way,0,1969
da,0,1969
wan,0,1969
jake,0,1969
boy,0,1969
ai,0,1969
back,0,1969
hey,0,1969
b***h,0,1969
ayy,0,1969
n***a,0,1969
love,261,1970
like,138.2,1970
know,78.4,1970
funny,0,1970
oh,161.6,1970
yeah,96.4,1970
go,0,1970
might,0,1970
one,0,1970
also,0,1970
come,59.4,1970
baby,177.6,1970
day,32.6,1970
said,0,1970
la,0,1970
twist,0,1970
let,64.8,1970
got,79.8,1970
say,31.6,1970
um,0,1970
time,47.6,1970
girl,26.4,1970
na,104.6,1970
protest,20.2,1970
need,24.2,1970
get,21.2,1970
see,19.6,1970
take,0,1970
ooh,0,1970
sweet,0,1970
du,0,1970
man,0,1970
ca,0,1970
chance,0,1970
want,0,1970
feat,0,1970
night,0,1970
feel,0,1970
heart,0,1970
gon,0,1970
make,0,1970
never,0,1970
buddy,0,1970
way,0,1970
da,0,1970
wan,0,1970
jake,0,1970
boy,0,1970
ai,0,1970
back,0,1970
hey,0,1970
b***h,0,1970
ayy,0,1970
n***a,0,1970
love,282.4,1971
like,135.8,1971
know,81.8,1971
funny,0,1971
oh,168.2,1971
yeah,104.6,1971
go,0,1971
might,0,1971
one,0,1971
also,0,1971
come,32,1971
baby,189.8,1971
day,32.6,1971
said,0,1971
la,0,1971
twist,0,1971
let,94.8,1971
got,89.6,1971
say,31.6,1971
um,0,1971
time,59.8,1971
girl,26.4,1971
na,73,1971
protest,0,1971
need,24.2,1971
get,47.2,1971
see,19.6,1971
take,0,1971
ooh,0,1971
sweet,0,1971
du,0,1971
man,0,1971
ca,0,1971
chance,0,1971
want,0,1971
feat,0,1971
night,0,1971
feel,0,1971
heart,0,1971
gon,0,1971
make,0,1971
never,0,1971
buddy,0,1971
way,0,1971
da,0,1971
wan,0,1971
jake,0,1971
boy,0,1971
ai,0,1971
back,0,1971
hey,0,1971
b***h,0,1971
ayy,0,1971
n***a,0,1971
love,254.8,1972
like,174.2,1972
know,107.2,1972
funny,0,1972
oh,156.4,1972
yeah,137.8,1972
go,0,1972
might,0,1972
one,34.2,1972
