Word,Count,Year
love,294,1960
like,164,1960
know,130,1960
funny,123,1960
oh,119,1960
yeah,115,1960
go,102,1960
might,96,1960
one,96,1960
also,95,1960
come,92,1960
little,88,1960
got,83,1960
way,78,1960
want,78,1960
let,75,1960
heart,73,1960
good,69,1960
well,68,1960
said,67,1960
ah,65,1960
take,64,1960
say,62,1960
day,60,1960
time,57,1960
never,57,1960
baby,56,1960
tell,53,1960
see,53,1960
sweet,52,1960
would,49,1960
make,48,1960
oop,47,1960
girl,46,1960
could,45,1960
night,43,1960
nah,43,1960
big,42,1960
two,40,1960
thing,40,1960
eye,39,1960
feel,39,1960
please,38,1960
around,38,1960
world,38,1960
young,37,1960
much,37,1960
think,36,1960
give,36,1960
away,35,1960
whoa,35,1960
man,34,1960
yes,34,1960
kiss,34,1960
life,34,1960
old,34,1960
saith,34,1960
new,33,1960
ca,32,1960
find,32,1960
every,32,1960
archer,32,1960
rose,31,1960
TRUE,30,1960
another,30,1960
ta,30,1960
back,30,1960
long,30,1960
na,30,1960
u,30,1960
blue,30,1960
stay,30,1960
gon,29,1960
sandy,29,1960
alone,28,1960
mind,28,1960
mine,28,1960
wo,28,1960
dance,28,1960
hand,27,1960
right,27,1960
need,27,1960
uh,27,1960
mmm,27,1960
someone,26,1960
lonely,26,1960
talk,26,1960
ha,26,1960
hear,25,1960
keep,25,1960
always,24,1960
cry,24,1960
lover,24,1960
dear,24,1960
ave,24,1960
people,23,1960
came,23,1960
happy,23,1960
going,23,1960
huh,22,1960
gave,22,1960
lip,21,1960
loved,21,1960
angel,21,1960
ooh,21,1960
wild,20,1960
step,20,1960
put,19,1960
white,19,1960
gone,19,1960
tree,19,1960
somebody,19,1960
get,19,1960
made,19,1960
quoth,19,1960
poet,19,1960
place,18,1960
arm,18,1960
dream,18,1960
together,18,1960
still,18,1960
whose,18,1960
face,18,1960
nur,18,1960
couplet,18,1960
may,17,1960
twist,17,1960
forget,17,1960
left,17,1960
head,17,1960
three,17,1960
bismarck,17,1960
heaven,17,1960
jimmy,17,1960
lord,17,1960
number,17,1960
merchant,17,1960
care,16,1960
though,16,1960
die,16,1960
even,16,1960
found,16,1960
hold,16,1960
wah,16,1960
nothing,16,1960
home,16,1960
yellow,16,1960
wanted,16,1960
star,16,1960
money,16,1960
gold,16,1960
sound,15,1960
water,15,1960
took,15,1960
high,15,1960
told,15,1960
without,15,1960
stop,15,1960
called,15,1960
help,15,1960
song,15,1960
son,15,1960
thou,15,1960
olenska,15,1960
tear,14,1960
side,14,1960
smile,14,1960
last,14,1960
try,14,1960
till,14,1960
cheek,14,1960
garden,14,1960
lady,14,1960
cherry,14,1960
laura,14,1960
georgia,14,1960
friend,13,1960
waiting,13,1960
went,13,1960
school,13,1960
finger,13,1960
fool,13,1960
meet,13,1960
stick,13,1960
ai,13,1960
ever,13,1960
drink,13,1960
door,13,1960
looked,13,1960
look,13,1960
alright,13,1960
fine,13,1960
fire,13,1960
sea,13,1960
men,13,1960
leave,13,1960
footstep,13,1960
orleans,13,1960
green,13,1960
rockin,13,1960
madame,13,1960
turn,12,1960
running,12,1960
name,12,1960
sight,12,1960
saw,12,1960
mess,12,1960
afraid,12,1960
reason,12,1960
fair,12,1960
knew,12,1960
boy,12,1960
saying,12,1960
walkin,12,1960
dawn,12,1960
pretty,12,1960
thee,12,1960
fruit,12,1960
hue,12,1960
gardener,12,1960
carver,12,1960
seen,11,1960
bear,11,1960
dove,11,1960
teen,11,1960
somewhere,11,1960
tomorrow,11,1960
late,11,1960
sugar,11,1960
hide,11,1960
start,11,1960
great,11,1960
memory,11,1960
sat,11,1960
