Q4.1_1,Q4.1_2,Q4.1_3,Q4.1_4,Q4.1_5,Q4.1_6,Q4.1_14,Q4.1_7,Q4.1_16,Q4.1_15,Q4.1_8,Q4.1_9,Q4.2,Q4.3
"Rank these traits by what you care about in your ideal partner.
(1 - Most important, 12 - Least important) - Age","Rank these traits by what you care about in your ideal partner.
(1 - Most important, 12 - Least important) - Appearance","Rank these traits by what you care about in your ideal partner.
(1 - Most important, 12 - Least important) - Athleticism","Rank these traits by what you care about in your ideal partner.
(1 - Most important, 12 - Least important) - Height","Rank these traits by what you care about in your ideal partner.
(1 - Most important, 12 - Least important) - Intelligence","Rank these traits by what you care about in your ideal partner.
(1 - Most important, 12 - Least important) - Personality","Rank these traits by what you care about in your ideal partner.
(1 - Most important, 12 - Least important) - Political stance","Rank these traits by what you care about in your ideal partner.
(1 - Most important, 12 - Least important) - Religious values","Rank these traits by what you care about in your ideal partner.
(1 - Most important, 12 - Least important) - Sense of humor","Rank these traits by what you care about in your ideal partner.
(1 - Most important, 12 - Least important) - Shared interests","Rank these traits by what you care about in your ideal partner.
(1 - Most important, 12 - Least important) - Social media activity","Rank these traits by what you care about in your ideal partner.
(1 - Most important, 12 - Least important) - Socioeconomic status",Do you prefer your ideal partner to be...,Choose the 3 top traits you look for in your partner. - Selected Choice
7,4,2,5,3,1,9,8,10,6,11,12,Older,"Supportive,Compassionate,Sociable"
9,3,5,8,4,2,6,10,7,1,11,12,The same age,"Supportive,Intelligent,Compassionate"
8,1,7,10,3,2,9,11,5,4,12,6,The same age,"Loyal,Supportive,Compassionate"
1,4,5,8,6,3,11,12,7,2,9,10,The same age,"Intelligent,Compassionate,Responsible"
8,5,6,7,2,4,12,11,1,3,9,10,It doesn't matter,"Funny,Intelligent,Compassionate"
6,5,7,8,4,1,9,12,2,3,11,10,It doesn't matter,"Loyal,Compassionate,Genuine"
6,3,8,9,4,1,10,11,2,5,7,12,The same age,"Loyal,Funny,Genuine"
4,10,8,12,5,2,6,7,3,1,9,11,It doesn't matter,"Loyal,Adventurous,Motivated"
7,4,5,6,1,3,10,9,2,8,11,12,Older,"Loyal,Supportive,Responsible"
3,2,7,6,8,1,9,10,5,4,11,12,The same age,"Loyal,Confident,Genuine"
9,5,3,6,7,2,10,11,1,4,12,8,The same age,"Supportive,Funny,Motivated"
7,3,9,10,2,1,8,12,5,4,11,6,It doesn't matter,"Loyal,Romantic,Honest"
7,10,8,9,4,1,5,12,2,3,11,6,Older,"Patient,Respectful,Adventurous"
8,7,10,9,2,1,5,11,4,3,12,6,It doesn't matter,"Supportive,Intelligent,Romantic"
1,3,7,6,4,2,9,10,5,8,11,12,The same age,"Loyal,Funny,Sociable"
9,4,5,8,3,1,10,2,7,6,11,12,Older,"Confident,Genuine,Motivated"
6,4,5,1,3,2,8,12,7,9,11,10,Older,"Understanding,Confident,Motivated"
4,1,5,8,2,3,9,10,6,11,12,7,It doesn't matter,"Loyal,Intelligent,Romantic"
7,5,9,6,4,1,8,12,2,3,11,10,The same age,"Loyal,Understanding,Funny"
8,3,7,6,2,1,5,11,4,9,12,10,Older,"Genuine,Motivated,Sociable"
8,1,10,4,5,2,12,11,3,7,9,6,Older,"Loyal,Funny,Romantic"
3,4,9,6,5,1,7,11,8,2,12,10,The same age,"Intelligent,Compassionate,Genuine"
6,7,8,11,2,1,3,12,4,5,9,10,It doesn't matter,"Supportive,Genuine,Sociable"
12,3,7,10,2,4,9,8,1,5,6,11,It doesn't matter,"Funny,Open-minded,Genuine"
3,5,9,8,2,1,7,12,4,6,11,10,The same age,"Understanding,Confident,Independent"
5,3,8,6,2,1,11,9,7,4,12,10,The same age,"Loyal,Romantic,Motivated"
10,2,7,4,3,1,5,12,6,8,9,11,It doesn't matter,"Loyal,Supportive,Motivated"
9,6,3,8,4,1,7,12,5,2,10,11,It doesn't matter,"Loyal,Confident,Independent"
8,3,7,2,4,1,10,11,6,5,9,12,It doesn't matter,"Respectful,Intelligent,Honest"
,,,,,,,,,,,,Older,"Loyal,Supportive,Intelligent"
6,5,8,9,2,1,7,10,3,4,11,12,Older,"Intelligent,Compassionate,Motivated"
5,7,10,12,4,1,6,11,2,3,9,8,It doesn't matter,"Supportive,Funny,Compassionate"
6,1,9,7,5,2,8,10,3,4,11,12,It doesn't matter,"Patient,Sociable,Honest"
3,6,11,10,4,1,2,9,5,7,12,8,The same age,"Loyal,Genuine,Sociable"
9,2,10,1,3,6,5,4,7,8,11,12,It doesn't matter,"Supportive,Intelligent,Romantic"
8,3,6,7,5,1,9,11,2,4,10,12,Younger,"Funny,Compassionate,Genuine"
6,7,12,9,5,2,4,8,3,1,10,11,The same age,"Romantic,Compassionate,Open-minded"
8,3,12,9,5,1,4,10,6,2,7,11,It doesn't matter,"Understanding,Romantic,Compassionate"
8,2,9,7,3,1,11,4,5,6,10,12,It doesn't matter,"Understanding,Respectful,Open-minded"
1,3,7,4,5,6,9,12,2,8,11,10,Older,"Loyal,Compassionate,Sociable"
3,4,10,7,6,1,8,9,2,5,11,12,Older,"Funny,Open-minded,Motivated"
3,4,11,7,9,1,8,2,6,10,12,5,It doesn't matter,"Supportive,Patient,Funny"
10,5,3,6,4,9,12,7,2,8,1,11,Older,"Respectful,Funny,Romantic"
5,3,8,9,7,1,10,11,4,2,12,6,Older,"Respectful,Compassionate,Confident"
7,8,12,10,4,1,3,6,5,2,11,9,The same age,"Loyal,Respectful,Compassionate"
5,1,9,6,4,2,10,11,3,7,12,8,Older,"Loyal,Romantic,Motivated"
8,6,7,3,2,1,9,11,4,5,12,10,Older,"Loyal,Responsible,Motivated"
7,2,11,8,5,1,3,12,4,6,10,9,The same age,"Respectful,Motivated,Independent"
7,10,11,9,4,1,3,2,6,5,12,8,It doesn't matter,"Loyal,Understanding,Open-minded"
1,3,9,12,4,2,8,7,6,5,11,10,The same age,"Loyal,Supportive,Responsible"
2,6,8,12,3,1,4,9,5,7,11,10,The same age,"Romantic,Compassionate,Open-minded"
8,3,9,5,6,2,7,12,4,1,10,11,Younger,"Supportive,Adventurous,Open-minded"
3,1,11,5,4,2,8,9,7,10,12,6,Older,"Loyal,Respectful,Responsible"
11,9,8,10,3,1,5,4,7,2,12,6,Older,"Respectful,Optimistic,Honest"
9,3,12,8,5,1,6,7,2,4,10,11,The same age,"Loyal,Supportive,Caring"
8,4,12,6,1,2,10,9,3,5,11,7,It doesn't matter,"Loyal,Intelligent,Compassionate"
5,7,6,8,2,1,12,11,3,4,10,9,The same age,"Loyal,Patient,Romantic"
6,2,8,9,3,1,7,10,4,5,11,12,It doesn't matter,"Loyal,Understanding,Compassionate"
5,4,7,9,6,1,10,12,3,2,8,11,Older,"Supportive,Compassionate,Honest"
7,2,8,9,3,1,10,6,5,4,12,11,Older,"Supportive,Funny,Intelligent"
8,2,6,9,4,1,10,11,3,5,12,7,Older,"Supportive,Romantic,Sociable"
4,5,9,6,1,2,3,10,7,8,11,12,The same age,"Loyal,Responsible,Genuine"
9,2,10,8,3,1,6,7,5,4,11,12,It doesn't matter,"Loyal,Compassionate,Responsible"
8,3,7,6,2,1,9,10,5,4,12,11,Older,"Funny,Motivated,Honest"
8,2,5,9,6,1,10,12,3,4,11,7,It doesn't matter,"Loyal,Respectful,Confident"
4,5,10,8,3,6,12,1,2,9,7,11,Older,"Loyal,Funny,Romantic"
5,2,8,3,4,1,9,12,6,7,10,11,It doesn't matter,"Loyal,Respectful,Honest"
6,8,10,11,7,12,4,3,9,5,2,1,The same age,"Stylish,Motivated,Honest"
11,4,8,5,1,2,9,6,3,7,10,12,The same age,"Supportive,Funny,Intelligent"
6,7,8,5,1,2,12,11,3,4,9,10,Older,"Supportive,Intelligent,Motivated"
6,2,11,7,3,1,12,8,4,5,9,10,The same age,"Stylish,Intelligent,Romantic"
6,4,8,3,7,1,9,10,5,2,11,12,Older,"Loyal,Stylish,Funny"
6,2,8,5,4,1,7,9,3,10,11,12,It doesn't matter,"Respectful,Responsible,Motivated"
10,2,8,9,6,1,5,4,7,11,12,3,Older,"Loyal,Genuine,Independent"
8,4,9,7,6,1,5,10,2,3,12,11,It doesn't matter,"Respectful,Compassionate,Genuine"
4,9,10,2,7,3,5,6,1,8,11,12,The same age,"Loyal,Compassionate,Confident"
10,2,6,11,3,1,9,8,4,5,12,7,The same age,"Supportive,Romantic,Dependable"
5,2,6,7,8,1,9,10,3,4,11,12,It doesn't matter,"Supportive,Respectful,Genuine"
5,9,12,11,2,1,6,7,8,3,10,4,It doesn't matter,"Supportive,Respectful,Intelligent"
7,2,9,8,3,1,10,4,5,6,12,11,The same age,"Loyal,Genuine,Motivated"
10,4,7,6,3,1,8,9,2,5,11,12,The same age,"Funny,Intelligent,Confident"
8,2,10,7,4,1,6,9,3,5,12,11,Older,"Supportive,Funny,Intelligent"
7,1,3,8,6,2,12,10,5,4,9,11,It doesn't matter,"Loyal,Supportive,Motivated"
9,5,12,4,6,2,1,8,3,7,11,10,Older,"Patient,Funny,Compassionate"
2,8,9,7,5,3,11,1,4,6,10,12,Older,"Patient,Respectful,Responsible"
8,3,2,5,6,1,11,9,4,7,12,10,It doesn't matter,"Loyal,Open-minded,Motivated"
9,2,6,10,4,1,3,11,8,7,12,5,Older,"Loyal,Respectful,Compassionate"
1,7,9,3,5,6,2,10,4,8,11,12,The same age,"Funny,Intelligent,Sociable"
3,5,9,7,2,1,8,10,4,11,12,6,Older,"Loyal,Funny,Intelligent"
10,6,5,3,2,4,12,1,7,9,11,8,Younger,"Loyal,Intelligent,Motivated"
7,6,8,5,4,1,11,9,3,2,10,12,Older,"Compassionate,Confident,Honest"
8,5,7,10,4,1,6,9,2,3,11,12,The same age,"Compassionate,Open-minded,Genuine"
9,6,10,11,2,1,5,7,3,4,12,8,It doesn't matter,"Intelligent,Compassionate,Genuine"
4,7,11,10,5,1,6,9,3,2,12,8,It doesn't matter,"Understanding,Funny,Intelligent"
1,2,3,4,6,5,7,8,9,10,11,12,The same age,"Compassionate,Confident,Responsible"
9,4,7,6,2,1,5,12,3,8,11,10,Older,"Supportive,Respectful,Genuine"
2,5,7,12,3,1,10,8,6,4,9,11,The same age,"Loyal,Genuine,Honest"
8,3,7,9,2,1,5,11,4,6,10,12,It doesn't matter,"Loyal,Intelligent,Compassionate"
11,2,4,7,3,1,12,10,5,6,8,9,It doesn't matter,"Loyal,Optimistic,Genuine"
10,3,8,9,4,1,7,2,6,5,11,12,It doesn't matter,"Adventurous,Generous,Genuine"
10,1,9,8,4,2,11,12,3,5,6,7,The same age,"Loyal,Funny,Genuine"
8,5,10,9,2,1,6,7,4,3,12,11,The same age,"Loyal,Understanding,Intelligent"
